driver_id,FN_x,FP,TN_x,TP_x,FN_y,TN_y,TP_y,diff in FN,diff in TN,diff in TP,test_session_counts,inf_session_counts,normalized_test_session_counts,FNR_zscore,FNR,Inf True preds,Inf Falst Preds,Test true oreds,Test false preds,comment
D1029,0,0,1,0,0,0.5,0.5,0,0.5,-0.5,2,2,5,-0.423049545,0,yes,no,yes,no,model seems to detect this driver ok
D1030,0,0.6,0.2,0.2,0,0.6666666666666666,0.3333333333333333,0,-0.466666667,-0.133333333,3,5,7.5,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1031,0,0.5,0,0.5,0.2,0.6,0.2,-0.2,-0.6,0.3,5,8,12.5,1.5441308379611909,0.5,yes,yes,yes,yes,model isn't very good at detecting this driver
D1032,0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0,0.5,0.5,0,-0.357142857,-0.071428571,2,7,5,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1037,0,0.25,0.25,0.5,0,0,1,0,0.25,-0.5,1,4,2.5,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1040,0,0.8,0,0.2,0,0,1,0,0,-0.8,1,5,2.5,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1041,0,0.5,0,0.5,0,0,1,0,0,-0.5,1,2,2.5,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1042,0,0.3333333333333333,0,0.6666666666666666,0,0.25,0.75,0,-0.25,-0.083333333,4,3,10,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1043,0,0.6,0.4,0,0,0.25,0.75,0,0.15000000000000002,-0.75,4,5,10,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1044,0,0.25,0.25,0.5,0,0.3333333333333333,0.6666666666666666,0,-0.083333333,-0.166666667,3,4,7.5,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1045,0,0.75,0,0.25,0,0,1,0,0,-0.75,1,4,2.5,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1046,0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0,0.5,0.5,0,-0.333333333,0.16666666666666663,2,6,5,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
D1047,0,0.4,0,0.6,0,0.25,0.75,0,-0.25,-0.15,4,5,10,-0.423049545,0,yes,yes,yes,no,model detects driver ok only in test
